,Site_Name,TDFe,Waterbody2,x_coordina,y_coordina
1,Ada Hayden,13.48666667,Artificial Lakes,448174.92,4657208.55
2,Arbor Lake,57.3,Artificial Lakes,522262.02,4620025.39
3,Arrowhead Lake,43,Artificial Lakes,330911.52,4684793.63
4,Arrowhead Pond,26.83333333,Artificial Lakes,283406.45,4590411.46
5,Avenue of the Saints Pond,50.83333333,Artificial Lakes,537967.5,4728531.17
6,Badger Creek Lake,39.25,Artificial Lakes,423893.93,4591432.25
7,Badger Lake,46.1,Artificial Lakes,402117.43,4715601.85
8,Beaver Lake,31.88,Artificial Lakes,398938.68,4598600.26
9,Beeds Lake,25,Artificial Lakes,480055.88,4735292.12
10,Belva Deer Lake,39,Artificial Lakes,572399,4580789
11,Big Creek,19.15,Artificial Lakes,438321.15,4629479.46
12,Big Hollow Lake,20.46666667,Artificial Lakes,648948,4534137
13,Big Spirit Lake,21.95,Natural Lakes,329966.96,4812894.29
14,Black Hawk Lake,36.65,Natural Lakes,333592.47,4684763.6
15,Blue Lake,85.9,Natural Lakes,238595.91,4659728.09
16,Bob White Lake,508.1,Artificial Lakes,466282.9,4507270.67
17,Briggs Woods Lake,12,Artificial Lakes,434799.38,4698625.1
18,Browns Lake,22.76666667,Natural Lakes,226224.76,4689445.5
19,Brushy Creek Lake,40.66666667,Artificial Lakes,419317.11,4693493.89
20,Carter Lake,27.93333333,Natural Lakes,255489.46,4576242.85
21,Casey Lake,21.8,Artificial Lakes,556658.34,4679465.31
22,Center Lake,32.05,Natural Lakes,327070.22,4808772.86
23,Clear Lake,78.46833333,Natural Lakes,468223.96,4775662.73
24,Cold Springs Lake,28.1,Artificial Lakes,325247.74,4573271.32
25,Crawford Creek Impoundment,47.8,Artificial Lakes,285080.77,4683549.46
26,Crystal Lake,23.76666667,Natural Lakes,435751.69,4786527.29
27,DeSoto Bend Lake,20.075,Natural Lakes,247652.14,4603538.94
28,Diamond Lake,246.025,Artificial Lakes,247652.14,4603538.94
29,Dog Creek Lake,34.55,Artificial Lakes,298538.13,4756818.5
30,Don Williams Lake,30.16666667,Artificial Lakes,415725.47,4663301.65
31,East Lake (Osceola),80.55,Artificial Lakes,437595.56,4542703.74
32,East Okoboji Lake,23.5,Natural Lakes,328394.92,4805141.83
33,Eldred Sherwood Lake,30.46666667,Artificial Lakes,453975.09,4754473.17
34,Five Island Lake,52.65,Natural Lakes,364129.71,4776858.57
35,Frog Hollow,14,Artificial Lakes,600326.81,4750319.41
36,George Wyth Lake,22.05,Artificial Lakes,549304.53,4709368.04
37,Green Belt Lake,19.95,Artificial Lakes,550302.63,4703101.58
38,Green Castle Lake,22.43333333,Artificial Lakes,511581.56,4641843.27
39,Green Valley Lake,43.56666667,Artificial Lakes,383661.65,4550950.63
40,Greenfield Lake,21.30666667,Artificial Lakes,375999.79,4572927.56
41,Hannen Lake,34.55,Artificial Lakes,573568.05,4635295.78
42,Hawthorn Lake,47.1,Artificial Lakes,545229.09,4591852.64
43,Hickory Grove Lake,19.35,Artificial Lakes,470564.02,4648264.23
44,Hooper Area Pond,26.43333333,Artificial Lakes,450695.82,4569434.84
45,Indian Lake,23.925,Artificial Lakes,605465.38,4498406.87
46,Ingham Lake,17.425,Natural Lakes,362567.49,4797656.25
47,Lacey Keosauqua Park Lake,44.9,Artificial Lakes,586944.13,4507027.86
48,Lake Ahquabi,16.40333333,Artificial Lakes,450319.32,4571145.83
49,Lake Anita,23.69,Artificial Lakes,351183.86,4587776.12
50,Lake Cornelia,19.6,Natural Lakes,443606.06,4737316.08
51,Lake Darling,27.25,Artificial Lakes,592526.11,4561019.3
52,Lake Hendricks,19.8,Artificial Lakes,536796.76,4802511.8
53,Lake Icaria,19.48333333,Artificial Lakes,353123.81,4545985.84
54,Lake Iowa,96.55,Artificial Lakes,568747.08,4609827.89
55,Lake Keomah,25.06666667,Artificial Lakes,538546.94,4571495.74
56,Lake MacBride,22.95333333,Artificial Lakes,619078.11,4628229.25
57,Lake Manawa,20.63333333,Artificial Lakes,260203.21,4565635.29
58,Lake Meyer,18.4,Artificial Lakes,588587.31,4780856.03
59,Lake Miami,20.22,Artificial Lakes,512952.93,4551706.67
60,Lake Minnewashta,25.5,Artificial Lakes,512952.93,4551706.67
61,Lake of the Hills,22.56666667,Artificial Lakes,693798.96,4599251.97
62,Lake of Three Fires,18.76666667,Artificial Lakes,357231.61,4508111.37
63,Lake Orient,40.93333333,Artificial Lakes,379552.53,4561682.24
64,Lake Pahoja,29.55,Artificial Lakes,219000.7,4809227.87
65,Lake Smith,33,Artificial Lakes,399004.66,4775327.52
66,Lake Sugema,16.07,Artificial Lakes,585661.49,4504193.59
67,Lake Wapello,11.37666667,Artificial Lakes,535775.58,4518715.47
68,Little River Watershed Lake,27.31333333,Artificial Lakes,434102.76,4512932.22
69,Little Sioux Park Lake,22.4,Artificial Lakes,269611.94,4703249.66
70,Little Spirit Lake,472.35,Natural Lakes,328213.3,4818249.82
71,Little Wall Lake,14.675,Natural Lakes,447509.22,4679896.07
72,Littlefield Lake,24.42,Artificial Lakes,351168.93,4602359.81
73,Lost Grove Lake,18.66666667,Artificial Lakes,713121,4616355
74,Lost Island Lake,33.1,Natural Lakes,345236.73,4781980.63
75,Lower Gar Lake,19.3,Natural Lakes,328234.54,4801799.84
76,Lower Pine Lake,15.8,Artificial Lakes,493819.22,4690719.67
77,Manteno Park Pond,88.425,Artificial Lakes,295232.85,4636522.07
78,Meadow Lake,63.7,Artificial Lakes,379665.66,4582459.52
79,Meyers Lake,15.73333333,Artificial Lakes,558310,4701247
80,Mill Creek Lake,45.5,Artificial Lakes,282302,4762515
81,Mitchell Lake,18.96666667,Artificial Lakes,468053.88,4610166.83
82,Moorehead Park Pond,45,Artificial Lakes,295746.77,4692499.69
83,Mormon Trail Lake,22.12,Artificial Lakes,363054.22,4566934.26
84,Nelson Park Lake,50.8,Artificial Lakes,285370.38,4646138.79
85,Nine Eagles Lake,24.66666667,Artificial Lakes,434841.62,4494456.68
86,North Twin Lake,15.06666667,Natural Lakes,366058.06,4704861.72
87,Oldham Lake,29.7,Artificial Lakes,268988.65,4654477.44
88,Otter Creek Lake,59.04,Artificial Lakes,539761.59,4654810.53
89,Ottumwa Lagoon,33.03333333,Natural Lakes,548207,4539654
90,Pierce Creek Pond,31.45,Artificial Lakes,301186.8,4522851.23
91,Pleasant Creek Lake,35.4,Artificial Lakes,598199.61,4664125.85
92,Pollmiller Park Lake,19.85,Artificial Lakes,632044.15,4508067.78
93,Prairie Rose Lake,17.175,Artificial Lakes,315022.56,4608076.17
94,Rathbun Lake,10.6825,Artificial Lakes,507933.71,4521817.24
95,Red Haw Lake,39.51166667,Artificial Lakes,477089.37,4538562.46
96,Roberts Creek Lake,21.2,Artificial Lakes,495830.2,4585975.08
97,Rock Creek Lake,62.75,Artificial Lakes,512179.64,4620967.25
98,Rodgers Park Lake,23.4,Artificial Lakes,576162.03,4672389
99,Rudd Lake,42.76666667,Artificial Lakes,509045,4774695
100,Silver Lake (Delaware),63.65,Artificial Lakes,637956.2,4698315.57
101,Silver Lake (Dickinson),12.6,Artificial Lakes,637956.2,4698315.57
