lakeid,year4,daynum,sampledate,depth,cl,so4,ca,mg,na,k,fe,mn
AL,2013,56,2/25/2013,0,0.45,4.36,12.2,3.18,1.61,0.63,0.14,0.02
AL,2013,56,2/25/2013,4,0.48,4.68,13.76,3.59,1.74,0.78,0.13,0.06
AL,2013,56,2/25/2013,4,0.46,4.67,13.9,3.63,1.75,0.78,0.14,0.08
AL,2013,56,2/25/2013,7,0.49,3.32,16.96,4.21,1.78,0.93,2.04,0.56
AL,2013,134,5/14/2013,0,0.57,3.93,12.45,3.19,1.51,0.68,0.19,0.08
AL,2013,134,5/14/2013,0,0.57,3.94,12.36,3.17,1.48,0.66,0.19,0.08
AL,2013,134,5/14/2013,4,0.58,3.94,12.35,3.18,1.47,0.67,0.2,0.08
AL,2013,134,5/14/2013,7,0.58,3.91,12,3.09,1.47,0.65,0.23,0.09
AL,2013,219,8/7/2013,0,0.28,3.57,11.85,3.13,1.56,0.65,0.02,0
AL,2013,219,8/7/2013,0,0.28,3.55,11.87,3.13,1.55,0.63,0.02,0
AL,2013,219,8/7/2013,4,0.29,3.56,11.79,3.11,1.54,0.64,0.02,0
AL,2013,219,8/7/2013,6,0.36,3.08,14.36,3.43,1.63,0.77,0.19,0.11
AL,2013,219,8/7/2013,7,0.38,2.27,15.85,3.59,1.68,0.85,0.26,1.37
AL,2013,311,11/7/2013,0,0.31,3.42,12.33,3.2,1.63,0.69,0.06,0
AL,2013,311,11/7/2013,4,0.32,3.41,12.2,3.2,1.61,0.68,0.05,0
AL,2013,311,11/7/2013,4,0.32,3.44,12.18,3.22,1.62,0.68,0.05,0
AL,2013,311,11/7/2013,7,0.35,3.44,12.33,3.2,1.61,0.67,0.05,0
AL,2014,77,3/18/2014,0,0.6,5.7,13.11,3.91,1.93,0.78,0.15,0.02
AL,2014,77,3/18/2014,4,0.51,3.21,15.66,4,1.63,0.92,1.75,0.65
AL,2014,77,3/18/2014,4,0.5,3.99,13.09,3.49,1.57,0.75,0.21,0.08
AL,2014,77,3/18/2014,7,0.54,4.02,13.21,3.54,1.6,0.75,0.21,0.08
AL,2014,140,5/20/2014,0,0.23,3.12,11.49,3.04,1.03,0.65,0.34,0.03
AL,2014,140,5/20/2014,4,0.24,3.18,11.64,3.04,1.06,0.65,0.35,0.03
AL,2014,140,5/20/2014,4,0.23,3.14,11.49,3.08,1.07,0.65,0.35,0.03
AL,2014,140,5/20/2014,7,0.26,3,12.32,3.16,1.01,0.69,0.54,0.26
AL,2014,224,8/12/2014,0,0.61,3.33,10.89,3.16,1.49,0.61,0.09,0
AL,2014,224,8/12/2014,4,0.61,3.3,10.91,3.16,1.51,0.62,0.09,0.01
AL,2014,224,8/12/2014,6,0.66,2.35,12.94,3.24,1.51,0.77,0.08,0.27
AL,2014,224,8/12/2014,6,0.66,2.35,13.09,3.22,1.5,0.77,0.07,0.26
AL,2014,224,8/12/2014,7,0.69,0.96,14.71,3.39,1.56,0.89,2.3,1.53
AL,2014,307,11/3/2014,0,0.41,4.31,11.76,3.21,1.62,0.67,0.24,0.02
AL,2014,307,11/3/2014,4,0.39,4.46,11.89,3.21,1.64,0.69,0.24,0.02
AL,2014,307,11/3/2014,4,0.54,4.26,11.9,3.19,1.63,0.67,0.24,0.02
AL,2014,307,11/3/2014,7,0.39,4.31,11.8,3.21,1.67,0.7,0.24,0.02
AL,2015,55,2/24/2015,0,0.41,4.45,11.3,3.23,1.57,0.63,0.13,0.02
AL,2015,55,2/24/2015,4,0.39,3.24,11.73,3.28,1.46,0.72,0.26,0.12
AL,2015,55,2/24/2015,7,0.41,0.11,13.01,3.56,1.49,0.83,2.4,0.44
AL,2015,55,2/24/2015,7,0.42,0.11,13.24,3.58,1.49,0.85,3.11,0.5
AL,2015,111,4/21/2015,0,0.34,3.33,14.34,3.23,1.68,0.68,0.46,0.03
AL,2015,111,4/21/2015,4,0.34,3.31,14.42,3.24,1.75,0.71,0.47,0.03
AL,2015,111,4/21/2015,7,0.35,3.32,14.79,3.27,1.79,0.72,0.49,0.04
AL,2015,111,4/21/2015,7,0.5,2.41,14.53,3.26,1.78,0.7,0.47,0.04
AL,2015,222,8/10/2015,0,0.65,3.4,11.41,3.11,1.53,0.57,0.03,0
AL,2015,222,8/10/2015,4,0.65,3.41,11.53,3.12,1.55,0.57,0.04,0
AL,2015,222,8/10/2015,6,0.7,2.76,12.87,3.23,1.56,0.67,0.3,0.02
AL,2015,222,8/10/2015,7,0.8,1.25,14.9,3.39,1.65,0.84,0.47,1.74
AL,2015,222,8/10/2015,7,0.78,1.23,14.96,3.4,1.61,0.84,0.53,1.76
AL,2015,313,11/9/2015,0,0.45,3.34,11.87,3.17,1.53,0.65,0.08,0.02
AL,2015,313,11/9/2015,4,0.46,3.31,12.05,3.18,1.52,0.65,0.08,0.02
AL,2015,313,11/9/2015,7,0.47,3.44,11.56,3.1,1.51,0.63,0.1,0.02
AL,2015,313,11/9/2015,7,0.46,3.36,11.64,3.15,1.62,0.63,0.1,0.02
AL,2016,68,3/8/2016,0,0.56,4.3,12.27,3.41,,0.7,0.13,0.02
