"","Backbone","Beeds Lake","Big Creek","Big Spirit","Black Hawk","Blue Lake","Brushy Creek","Clear Lake","Green Valley","Lacey Keosauqua","Lake Ahquabi","Lake Anita","Lake Darling","Lake Keomah","Lake Macbride","Lake Manawa","Lake of Three Fires","Lake Wapello","Lower Pine Lake","Nine Eagles","North Twin","Prairie Rose","Rathburn Lake","Red Haw","Rock Creek","Springbrook","Union Grove","Viking Lake"
"Beeds Lake",0.223635305177888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Creek",0.00648455753504673,0.00202287946428572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Big Spirit",0.00202287946428572,0.00275336371527778,0.278155266095298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Black Hawk",0.179312811957465,0.0673080542503131,0.0371041527406417,0.0954626899081177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue Lake",0.143298659878277,0.00840009269067797,0.0128115699404762,0.0884077029363339,0.736826220564342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brushy Creek",0.112417825838415,0.00510933472938145,0.0253702799479167,0.374623831665408,0.415293498211597,0.42580254030169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clear Lake",0.0371041527406417,0.00202287946428572,0.864919594701777,0.491837707876462,0.255817476278878,0.0519432654747597,0.112417825838415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green Valley",0.179312811957465,0.096653348677386,0.338462271341464,0.864919594701777,0.527598563520484,0.49884394556939,0.72216796875,0.491837707876462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lacey Keosauqua",0.0128115699404762,0.00202287946428572,0.179312811957465,0.278797743055556,0.112417825838415,0.0519432654747597,0.0519432654747597,0.22928010574495,0.234670379016335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Ahquabi",0.0106745793269231,0.00840009269067797,0.604257436899039,0.113627486459205,0.044277442893401,0.0776159855215604,0.126710283744909,0.451323560003698,0.312631793683244,0.604257436899039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Anita",0.00202287946428572,0.00202287946428572,0.00774583942122422,0.00202287946428572,0.00275336371527778,0.00202287946428572,0.00202287946428572,0.00202287946428572,0.00202287946428572,0.0128115699404762,0.0519432654747597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Darling",0.00510933472938145,0.00202287946428572,0.179312811957465,0.0371041527406417,0.00367115162037037,0.0128115699404762,0.020191333912037,0.179312811957465,0.044277442893401,0.202978348976109,0.563993485946229,0.278797743055556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Keomah",0.00202287946428572,0.00202287946428572,0.126710283744909,0.0513864455365962,0.00840009269067797,0.00367115162037037,0.0201632442367341,0.160447813624101,0.096653348677386,0.451323560003698,0.654913107950375,0.0106745793269231,0.287817233987268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Macbride",0.00367115162037037,0.00202287946428572,0.00648455753504673,0.0128115699404762,0.0088091415936642,0.00854688960843234,0.00854688960843234,0.0159872731854839,0.00202287946428572,0.044277442893401,0.307521654211957,0.22928010574495,0.635463951020659,0.143298659878277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Manawa",0.143162673997202,0.0166654160472267,0.07264123681895,0.976929280055462,0.338462271341464,0.343755649139468,0.72216796875,0.72216796875,0.922229906465197,0.160447813624101,0.160447813624101,0.00275336371527778,0.0128115699404762,0.0128115699404762,0.00275336371527778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake of Three Fires",0.00275336371527778,0.00202287946428572,0.0731074130373304,0.0128115699404762,0.00202287946428572,0.00510933472938145,0.00510933472938145,0.0371041527406417,0.0145921947480716,0.096653348677386,0.307521654211957,0.278797743055556,0.278797743055556,0.160447813624101,0.976929280055462,0.0371041527406417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Wapello",0.00202287946428572,0.00202287946428572,0.00202287946428572,0.00275336371527778,0.00367115162037037,0.00774583942122422,0.00275336371527778,0.00275336371527778,0.00202287946428572,0.0118640976436111,0.0309000338383873,0.76748774903599,0.143298659878277,0.00510933472938145,0.143298659878277,0.00510933472938145,0.202978348976109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lower Pine Lake",0.643352004716981,0.686202678274601,0.020191333912037,0.0309000338383873,0.0884077029363339,0.0700869298586108,0.0855847329295155,0.0128115699404762,0.179312811957465,0.00510933472938145,0.00774583942122422,0.00510933472938145,0.00510933472938145,0.00510933472938145,0.00510933472938145,0.0519432654747597,0.00202287946428572,0.00275336371527778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nine Eagles",0.126710283744909,0.00275336371527778,0.912812893576826,0.817051880195013,0.255817476278878,0.444764603501789,0.318979036254657,0.686202678274601,0.234670379016335,0.643352004716981,0.604257436899039,0.0371041527406417,0.179312811957465,0.300553201963722,0.044277442893401,0.527598563520484,0.0855847329295155,0.0106745793269231,0.0106745793269231,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Twin",0.0125874803150106,0.00275336371527778,0.0519432654747597,0.922229906465197,0.096653348677386,0.0371041527406417,0.278797743055556,0.520041253449155,0.912812893576826,0.126710283744909,0.202978348976109,0.00202287946428572,0.044277442893401,0.0213958444416034,0.00367115162037037,0.811753202425532,0.0159872731854839,0.00202287946428572,0.0371041527406417,0.604257436899039,NA,NA,NA,NA,NA,NA,NA,NA
"Prairie Rose",0.0201632442367341,0.00202287946428572,0.864919594701777,0.327973770233668,0.0141810873828173,0.0309000338383873,0.143298659878277,0.72216796875,0.374623831665408,0.527598563520484,0.76748774903599,0.00367115162037037,0.096653348677386,0.22928010574495,0.0106745793269231,0.126710283744909,0.00275336371527778,0.00648455753504673,0.00840009269067797,0.976929280055462,0.491837707876462,NA,NA,NA,NA,NA,NA,NA
"Rathburn Lake",0.00202287946428572,0.00202287946428572,0.00275336371527778,0.00202287946428572,0.00275336371527778,0.00202287946428572,0.00202287946428572,0.00202287946428572,0.00202287946428572,0.00202287946428572,0.0309000338383873,0.255817476278878,0.0587164160362177,0.00275336371527778,0.0371041527406417,0.00367115162037037,0.096653348677386,0.278797743055556,0.00275336371527778,0.00367115162037037,0.00202287946428572,0.00275336371527778,NA,NA,NA,NA,NA,NA
"Red Haw",0.00510933472938145,0.00275336371527778,0.160447813624101,0.0620664792640187,0.0309000338383873,0.0253702799479167,0.044277442893401,0.0673080542503131,0.0620664792640187,0.126710283744909,0.686202678274601,0.179312811957465,0.72216796875,0.527598563520484,0.76748774903599,0.044277442893401,0.72216796875,0.0731074130373304,0.00840009269067797,0.096653348677386,0.044277442893401,0.160447813624101,0.0519432654747597,NA,NA,NA,NA,NA
"Rock Creek",0.020191333912037,0.00202287946428572,0.527598563520484,0.563993485946229,0.202978348976109,0.096653348677386,0.126710283744909,1,0.563993485946229,0.0884077029363339,0.255817476278878,0.00202287946428572,0.0620664792640187,0.0599024968570162,0.00510933472938145,0.520041253449155,0.0309000338383873,0.00275336371527778,0.00840009269067797,0.976929280055462,0.563993485946229,0.72216796875,0.00202287946428572,0.0309000338383873,NA,NA,NA,NA
