,Beeds Lake,Beeds Lake,Black Hawk,Black Hawk,Brushy Creek,Brushy Creek,Clear Lake,Clear Lake,Denison,Denison,Lower Pine Lake,Lower Pine Lake,North Twin,North Twin,Rock Creek,Rock Creek,Backbone,Backbone,Big Creek,Big Creek,Big Spirit,Big Spirit,West Okoboji,West Okoboji,George Wyth,George Wyth,Green Valley,Green Valley,Rathburn Lake,Rathburn Lake,Lacey Keosauqua,Lacey Keosauqua,Lake Ahquabi,Lake Ahquabi,Lake Anita,Lake Anita,Lake Darling,Lake Darling,Lake Keomah,Lake Keomah,Lake Macbride,Lake Macbride,Lake Manawa,Lake Manawa,Lake of Three Fires,Lake of Three Fires,Lake Wapello,Lake Wapello,Blue Lake,Blue Lake,Nine Eagles,Nine Eagles,Prairie Rose,Prairie Rose,Red Haw,Red Haw,Springbrook,Springbrook,Union Grove,Union Grove,Viking Lake,Viking Lake
Beeds Lake,1.00,NA,0.19,0.50,0.32,0.24,0.78,0.00,0.30,0.30,0.54,0.04,0.19,0.50,0.62,0.01,-0.01,0.98,-0.09,0.77,0.17,0.58,0.68,0.01,-0.04,0.90,-0.15,0.63,0.02,0.95,0.64,0.02,-0.42,0.15,-0.09,0.77,0.17,0.59,-0.02,0.96,-0.04,0.89,0.17,0.57,0.05,0.87,-0.01,0.98,0.03,0.91,0.24,0.43,0.00,0.99,0.41,0.16,-0.10,0.75,-0.11,0.73,-0.16,0.60
Black Hawk,0.19,0.50,1.00,NA,0.79,0.00,0.23,0.42,0.81,0.00,0.41,0.13,0.56,0.03,0.55,0.03,-0.04,0.89,0.42,0.15,0.48,0.09,-0.06,0.85,0.74,0.01,0.72,0.01,0.45,0.13,0.19,0.53,0.12,0.69,0.51,0.08,0.39,0.19,0.37,0.21,0.63,0.02,0.68,0.01,0.87,0.00,0.31,0.30,0.71,0.01,0.39,0.19,0.89,0.00,0.16,0.61,0.36,0.23,0.78,0.00,0.36,0.23
Brushy Creek,0.32,0.24,0.79,0.00,1.00,NA,0.18,0.51,0.69,0.01,0.26,0.35,0.84,0.00,0.69,0.00,-0.05,0.86,0.76,0.00,0.58,0.04,-0.23,0.45,0.78,0.00,0.61,0.04,0.71,0.01,0.24,0.43,0.16,0.60,0.74,0.00,0.52,0.07,0.63,0.02,0.84,0.00,0.71,0.01,0.66,0.01,0.74,0.00,0.88,0.00,0.21,0.50,0.66,0.01,0.36,0.22,0.67,0.01,0.80,0.00,0.71,0.01
Clear Lake,0.78,0.00,0.23,0.42,0.18,0.51,1.00,NA,0.41,0.14,0.71,0.00,0.20,0.46,0.62,0.01,-0.20,0.51,-0.04,0.89,0.14,0.64,0.94,0.00,-0.01,0.98,-0.14,0.66,0.21,0.48,0.84,0.00,-0.17,0.59,-0.04,0.90,0.10,0.76,0.06,0.86,0.03,0.93,0.32,0.29,0.04,0.90,0.14,0.66,0.10,0.74,0.60,0.03,0.03,0.92,0.50,0.08,0.00,0.99,0.07,0.83,-0.07,0.81
Denison,0.30,0.30,0.81,0.00,0.69,0.01,0.41,0.14,1.00,NA,0.39,0.17,0.61,0.02,0.59,0.03,0.08,0.80,0.64,0.02,0.64,0.02,0.21,0.51,0.80,0.00,0.64,0.03,0.48,0.12,0.58,0.05,0.28,0.37,0.61,0.04,0.69,0.01,0.70,0.01,0.73,0.01,0.91,0.00,0.79,0.00,0.48,0.11,0.81,0.00,0.55,0.07,0.78,0.00,0.51,0.09,0.40,0.20,0.71,0.01,0.52,0.08
Lower Pine Lake,0.54,0.04,0.41,0.13,0.26,0.35,0.71,0.00,0.39,0.17,1.00,NA,0.15,0.60,0.70,0.00,-0.04,0.89,-0.38,0.20,0.14,0.65,0.84,0.00,-0.09,0.79,-0.21,0.51,-0.21,0.49,0.55,0.05,0.09,0.76,-0.38,0.20,-0.06,0.85,-0.16,0.61,-0.23,0.46,0.17,0.58,0.13,0.68,-0.18,0.56,-0.02,0.95,0.47,0.10,0.06,0.85,0.05,0.87,-0.27,0.37,0.02,0.95,-0.36,0.22
North Twin,0.19,0.50,0.56,0.03,0.84,0.00,0.20,0.46,0.61,0.02,0.15,0.60,1.00,NA,0.68,0.01,-0.05,0.86,0.87,0.00,0.50,0.08,-0.19,0.53,0.80,0.00,0.65,0.02,0.85,0.00,0.31,0.29,0.23,0.44,0.94,0.00,0.59,0.04,0.73,0.00,0.92,0.00,0.63,0.02,0.41,0.16,0.84,0.00,0.82,0.00,0.23,0.46,0.47,0.10,0.59,0.03,0.87,0.00,0.67,0.01,0.89,0.00
Rock Creek,0.62,0.01,0.55,0.03,0.69,0.00,0.62,0.01,0.59,0.03,0.70,0.00,0.68,0.01,1.00,NA,0.01,0.99,0.44,0.13,0.40,0.17,0.67,0.01,0.43,0.17,0.17,0.59,0.34,0.25,0.94,0.00,0.00,0.99,0.31,0.30,0.52,0.07,0.46,0.11,0.44,0.13,0.68,0.01,0.36,0.23,0.33,0.27,0.49,0.09,0.58,0.04,0.24,0.43,0.68,0.01,0.21,0.50,0.35,0.24,0.28,0.35
Backbone,-0.01,0.98,-0.04,0.89,-0.05,0.86,-0.20,0.51,0.08,0.80,-0.04,0.89,-0.05,0.86,0.01,0.99,1.00,NA,0.04,0.90,0.65,0.02,-0.06,0.85,-0.10,0.77,-0.16,0.63,-0.32,0.28,-0.05,0.87,0.27,0.37,-0.06,0.84,0.42,0.15,0.29,0.33,-0.13,0.67,0.01,0.97,0.14,0.64,-0.28,0.36,-0.10,0.76,-0.55,0.05,-0.07,0.81,0.03,0.92,-0.06,0.84,-0.11,0.73,0.02,0.94
Big Creek,-0.09,0.77,0.42,0.15,0.76,0.00,-0.04,0.89,0.64,0.02,-0.38,0.20,0.87,0.00,0.44,0.13,0.04,0.90,1.00,NA,0.52,0.07,-0.25,0.42,0.77,0.00,0.57,0.05,0.73,0.00,0.33,0.27,0.40,0.18,0.81,0.00,0.64,0.02,0.83,0.00,0.86,0.00,0.78,0.00,0.44,0.13,0.73,0.00,0.81,0.00,0.22,0.48,0.45,0.12,0.52,0.07,0.63,0.02,0.70,0.01,0.82,0.00
