,Beeds Lake,Black Hawk,Brushy Creek,Clear Lake,Lower Pine Lake,North Twin,Rock Creek,Backbone,Big Creek,Big Spirit,West Okoboji,George Wyth,Green Valley,Rathburn Lake,Lacey Keosauqua,Lake Ahquabi,Lake Anita,Lake Darling,Lake Keomah,Lake Macbride,Lake Manawa,Lake of Three Fires,Lake Wapello,Blue Lake,Nine Eagles,Prairie Rose,Red Haw,Springbrook,Union Grove,Viking Lake
Beeds Lake,NA,0.485180545,0.239794501,0.000574708,0.037359658,0.498829034,0.014657392,0.978828601,0.773083664,0.577890898,0.010791974,0.895055687,0.633122838,0.952675042,0.019518428,0.15201049,0.768423133,0.586023929,0.957596681,0.894332407,0.574699417,0.871318721,0.981347245,0.91174497,0.425047897,0.992578636,0.162008989,0.750437056,0.726049221,0.598050142
Black Hawk,0.485,NA,0.008386423,0.490115679,0.168462487,0.07185955,0.048526997,0.125121012,0.110908582,0.002420585,0.905985683,0.026308604,0.064833527,0.501633359,0.292416308,0.260515516,0.178380532,0.010061634,0.037102864,0.053441973,0.003416288,0.000283223,0.571143987,0.020493659,0.510498216,0.002866631,0.36805389,0.453958682,0.024493406,0.254641069
Brushy Creek,0.240,0.008,NA,0.513484121,0.353688415,7.58E-05,0.004411487,0.85846875,0.002361672,0.037098254,0.451696827,0.002873688,0.035886806,0.006253857,0.428514867,0.602529012,0.003677301,0.068825603,0.0220487,0.000352982,0.006821141,0.014078345,0.004045514,8.31E-05,0.497668482,0.014982405,0.222220062,0.012253865,0.001061837,0.007050669
Clear Lake,0.001,0.490,0.513,NA,0.003035757,0.463991139,0.013703269,0.5149305,0.891284307,0.637764034,2.66E-06,0.983412098,0.663702425,0.481421482,0.000354221,0.586270784,0.904530397,0.756427445,0.856183168,0.930582877,0.293429373,0.896264135,0.657174942,0.737669654,0.029136838,0.921108297,0.083397807,0.988471378,0.82644452,0.813249764
Lower Pine Lake,0.037,0.168,0.354,0.003,NA,0.602995917,0.003915424,0.893922599,0.198290104,0.645584036,0.000280936,0.790901706,0.506802576,0.49104775,0.049476311,0.764814598,0.195235857,0.848272441,0.609285846,0.455775447,0.58290435,0.683628385,0.564139242,0.948971208,0.10482235,0.849822193,0.873664272,0.367966507,0.945728448,0.224455839
North Twin,0.499,0.072,0.000,0.464,0.603,NA,0.005239787,0.8600484,0.000113669,0.081326695,0.532121628,0.001723087,0.021668087,0.000240749,0.294724305,0.440063583,1.50E-06,0.03567755,0.004788711,1.07E-05,0.022254848,0.158980373,0.000335018,0.000558527,0.456773661,0.101737814,0.034809772,9.02E-05,0.01211079,5.68E-05
Rock Creek,0.015,0.049,0.004,0.014,0.004,0.005,NA,0.98656674,0.129495579,0.171005233,0.013100999,0.166146271,0.58658471,0.253959213,1.93E-06,0.993183392,0.29747818,0.070299645,0.109709258,0.132893258,0.01048909,0.225880297,0.270955554,0.091370863,0.039717504,0.431572307,0.010155796,0.500093088,0.241758229,0.35419088
Backbone,0.979,0.125,0.858,0.515,0.894,0.860,0.987,NA,0.90428931,0.015749608,0.846302705,0.767151913,0.628741932,0.283310078,0.86933053,0.3738092,0.842897526,0.150475737,0.334597961,0.669125759,0.967079137,0.639111291,0.359311637,0.755272507,0.052587072,0.813953762,0.92338663,0.843735098,0.727042294,0.935568276
Big Creek,0.773,0.111,0.002,0.891,0.198,0.000,0.129,0.904,NA,0.069401153,0.417230995,0.003707695,0.052102614,0.004403455,0.272103342,0.18060546,0.000806729,0.018481926,0.000464753,0.000155896,0.001607358,0.134084446,0.004285143,0.000772707,0.477318229,0.122554912,0.069871761,0.021871519,0.008296885,0.000611161
Big Spirit,0.578,0.002,0.037,0.638,0.646,0.081,0.171,0.016,0.069,NA,0.733094223,0.179362579,0.608611785,0.264749021,0.339208889,0.10818239,0.101539983,0.029261741,0.009025301,0.135372609,0.034997739,0.102260416,0.239640313,0.02849717,0.638328317,0.19597884,0.359374477,0.098786607,0.063473968,0.101905598
West Okoboji,0.011,0.906,0.452,0.000,0.000,0.532,0.013,0.846,0.417,0.733,NA,0.510870341,0.225657644,0.839716707,0.002335422,0.852623656,0.297144286,0.910075773,0.770805914,0.430239358,0.6118118,0.722535552,0.765066181,0.753641152,0.103572499,0.554493061,0.315835892,0.446565314,0.745836387,0.332731416
George Wyth,0.895,0.026,0.003,0.983,0.791,0.002,0.166,0.767,0.004,0.179,0.511,NA,0.001260477,0.046266277,0.46359034,0.55538649,0.001078219,0.090808669,0.068704132,8.13E-05,0.001849778,0.014161596,0.082228271,3.17E-05,0.412929626,0.014559791,0.351098787,0.020795515,0.001344002,0.039818249
Green Valley,0.633,0.065,0.036,0.664,0.507,0.022,0.587,0.629,0.052,0.609,0.226,0.001,NA,0.089561427,0.908142736,0.781531828,0.012285403,0.037108326,0.136784757,0.000324929,0.026665971,0.009081402,0.158602901,0.035056134,0.213454852,0.000153693,0.174383683,0.125302282,0.071787371,0.067263315
Rathburn Lake,0.953,0.502,0.006,0.481,0.491,0.000,0.254,0.283,0.004,0.265,0.840,0.046,0.090,NA,0.304868148,0.799993148,0.000673522,0.317421236,0.063395348,0.001505379,0.064114548,0.203942667,3.01E-05,0.007213307,0.169988643,0.10322485,0.052957725,0.000538277,0.003797651,0.000347059
Lacey Keosauqua,0.020,0.292,0.429,0.000,0.049,0.295,0.000,0.869,0.272,0.339,0.002,0.464,0.908,0.305,NA,0.936372124,0.69277429,0.133282776,0.231151516,0.270044161,0.036073009,0.351971807,0.262428822,0.289755948,0.009265367,0.705591439,0.005161009,0.791225643,0.36481763,0.469381746
Lake Ahquabi,0.152,0.261,0.603,0.586,0.765,0.440,0.993,0.374,0.181,0.108,0.853,0.555,0.782,0.800,0.936,NA,0.645333547,0.180997544,0.06144915,0.376095528,0.107616806,0.963165182,0.486005702,0.236367258,0.971964799,0.587588313,0.981003942,0.846215545,0.516018728,0.55093159
Lake Anita,0.768,0.178,0.004,0.905,0.195,0.000,0.297,0.843,0.001,0.102,0.297,0.001,0.012,0.001,0.693,0.645,NA,0.108426694,0.013305955,0.000119757,0.042088205,0.134023166,0.006970064,0.000769572,0.722038366,0.056892903,0.173338468,4.40E-05,0.009891182,0.000920538
Lake Darling,0.586,0.010,0.069,0.756,0.848,0.036,0.070,0.150,0.018,0.029,0.910,0.091,0.037,0.317,0.133,0.181,0.108,NA,0.001157908,0.00845022,0.00561151,0.05503043,0.176743343,0.102135545,0.382052554,0.038413123,0.004332396,0.40820137,0.357904655,0.057894448
Lake Keomah,0.958,0.037,0.022,0.856,0.609,0.005,0.110,0.335,0.000,0.009,0.771,0.069,0.137,0.063,0.231,0.061,0.013,0.001,NA,0.004882688,0.000602889,0.160727677,0.021228045,0.014761469,0.522610789,0.103517843,0.044848747,0.06438946,0.087606785,0.005127844
Lake Macbride,0.894,0.053,0.000,0.931,0.456,0.000,0.133,0.669,0.000,0.135,0.430,0.000,0.000,0.002,0.270,0.376,0.000,0.008,0.005,NA,0.002172809,0.019420399,0.001493614,0.000234201,0.148657723,0.005737891,0.029744273,0.00676067,0.004776818,0.000656606
Lake Manawa,0.575,0.003,0.007,0.293,0.583,0.022,0.010,0.967,0.002,0.035,0.612,0.002,0.027,0.064,0.036,0.108,0.042,0.006,0.001,0.002,NA,0.024667068,0.054974025,0.001141592,0.05785376,0.011427302,0.062903824,0.25153653,0.012493239,0.060310269
Lake of Three Fires,0.871,0.000,0.014,0.896,0.684,0.159,0.226,0.639,0.134,0.102,0.723,0.014,0.009,0.204,0.352,0.963,0.134,0.055,0.161,0.019,0.025,NA,0.251502654,0.031693192,0.175161553,0.000591747,0.228586983,0.259398121,0.003845617,0.079932983
Lake Wapello,0.981,0.571,0.004,0.657,0.564,0.000,0.271,0.359,0.004,0.240,0.765,0.082,0.159,0.000,0.262,0.486,0.007,0.177,0.021,0.001,0.055,0.252,NA,0.008617513,0.174654452,0.181469856,0.03733535,0.001316447,0.012292732,4.11E-05
Blue Lake,0.912,0.020,0.000,0.738,0.949,0.001,0.091,0.755,0.001,0.028,0.754,0.000,0.035,0.007,0.290,0.236,0.001,0.102,0.015,0.000,0.001,0.032,0.009,NA,0.385589811,0.020955123,0.345078403,0.006617268,0.000134012,0.010391871
Nine Eagles,0.425,0.510,0.498,0.029,0.105,0.457,0.040,0.053,0.477,0.638,0.104,0.413,0.213,0.170,0.009,0.972,0.722,0.382,0.523,0.149,0.058,0.175,0.175,0.386,NA,0.126564249,0.032475212,0.933465314,0.255449339,0.467880216
Prairie Rose,0.993,0.003,0.015,0.921,0.850,0.102,0.432,0.814,0.123,0.196,0.554,0.015,0.000,0.103,0.706,0.588,0.057,0.038,0.104,0.006,0.011,0.001,0.181,0.021,0.127,NA,0.246366716,0.252757226,0.024593689,0.115705895
Red Haw,0.162,0.368,0.222,0.083,0.874,0.035,0.010,0.923,0.070,0.359,0.316,0.351,0.174,0.053,0.005,0.981,0.173,0.004,0.045,0.030,0.063,0.229,0.037,0.345,0.032,0.246,NA,0.287704964,0.462482795,0.033578919
Springbrook,0.750,0.454,0.012,0.988,0.368,0.000,0.500,0.844,0.022,0.099,0.447,0.021,0.125,0.001,0.791,0.846,0.000,0.408,0.064,0.007,0.252,0.259,0.001,0.007,0.933,0.253,0.288,NA,0.011553761,0.000430172
Union Grove,0.726,0.024,0.001,0.826,0.946,0.012,0.242,0.727,0.008,0.063,0.746,0.001,0.072,0.004,0.365,0.516,0.010,0.358,0.088,0.005,0.012,0.004,0.012,0.000,0.255,0.025,0.462,0.012,NA,0.006960351
Viking Lake,0.598,0.255,0.007,0.813,0.224,0.000,0.354,0.936,0.001,0.102,0.333,0.040,0.067,0.000,0.469,0.551,0.001,0.058,0.005,0.001,0.060,0.080,0.000,0.010,0.468,0.116,0.034,0.000,0.007,NA
