,Beeds Lake,Beeds Lake,Black Hawk,Black Hawk,Brushy Creek,Brushy Creek,Clear Lake,Clear Lake,Denison,Denison,Lower Pine Lake,Lower Pine Lake,North Twin,North Twin,Rock Creek,Rock Creek,Backbone,Backbone,Big Creek,Big Creek,Big Spirit,Big Spirit,West Okoboji,West Okoboji,George Wyth,George Wyth,Green Valley,Green Valley,Rathburn Lake,Rathburn Lake,Lacey Keosauqua,Lacey Keosauqua,Lake Ahquabi,Lake Ahquabi,Lake Anita,Lake Anita,Lake Darling,Lake Darling,Lake Keomah,Lake Keomah,Lake Macbride,Lake Macbride,Lake Manawa,Lake Manawa,Lake of Three Fires,Lake of Three Fires,Lake Wapello,Lake Wapello,Blue Lake,Blue Lake,Nine Eagles,Nine Eagles,Prairie Rose,Prairie Rose,Red Haw,Red Haw,Springbrook,Springbrook,Union Grove,Union Grove,Viking Lake,Viking Lake
Beeds Lake,1,NA,0.189246436,0.499353728,0.32332353,0.239794501,0.781821794,0.000574708,0.299401522,0.298379438,0.540848863,0.037359658,0.189473716,0.498829034,0.615136824,0.014657392,-0.008184905,0.978828601,-0.088757701,0.773083664,0.170366977,0.577890898,0.678471967,0.010791974,-0.042748024,0.895055687,-0.153831773,0.633122838,0.01830328,0.952675042,0.635759456,0.019518428,-0.420963339,0.15201049,-0.09062598,0.768423133,0.166787516,0.586023929,-0.016398173,0.957596681,-0.040950021,0.894332407,0.171777114,0.574699417,0.049929663,0.871318721,-0.00721103,0.981347245,0.034175946,0.91174497,0.242330208,0.425047897,-0.002868861,0.992578636,0.411857648,0.162008989,-0.097863687,0.750437056,-0.107753201,0.726049221,-0.161530477,0.598050142
Black Hawk,0.189246436,0.499353728,1,NA,0.786035488,0.000511871,0.225259178,0.419555237,0.813824816,0.000397329,0.408368991,0.130739862,0.562626011,0.029005618,0.548915965,0.034079143,-0.041043839,0.894091541,0.421227861,0.151726189,0.484132116,0.093655057,-0.056765026,0.853861956,0.744162577,0.005512296,0.717658613,0.008591074,0.446375081,0.126263259,0.190621077,0.532756118,0.123979795,0.686553233,0.50854387,0.075961939,0.391157235,0.186288001,0.371962395,0.210749375,0.633209453,0.020167984,0.681863991,0.01025557,0.873977982,9.39E-05,0.31402609,0.296075855,0.712521567,0.00627426,0.390854485,0.186659196,0.889659846,4.67E-05,0.156687615,0.609212767,0.358965731,0.228386515,0.783205708,0.001542272,0.35613444,0.23234421
Brushy Creek,0.32332353,0.239794501,0.786035488,0.000511871,1,NA,0.183166745,0.513484121,0.687307447,0.006606698,0.257748399,0.353688415,0.844124734,7.58E-05,0.690054153,0.004411487,-0.054958983,0.85846875,0.764033762,0.002361672,0.581530469,0.037098254,-0.229007521,0.451696827,0.778194069,0.002873688,0.608183142,0.035886806,0.712713153,0.006253857,0.240574054,0.428514867,0.159583191,0.602529012,0.74209723,0.003677301,0.519516435,0.068825603,0.626155264,0.0220487,0.837517965,0.000352982,0.707555572,0.006821141,0.660085003,0.014078345,0.73707656,0.004045514,0.876872594,8.31E-05,0.206883048,0.497668482,0.655603349,0.014982405,0.363437377,0.222220062,0.669834451,0.012253865,0.798600199,0.001061837,0.705561883,0.007050669
Clear Lake,0.781821794,0.000574708,0.225259178,0.419555237,0.183166745,0.513484121,1,NA,0.413796224,0.14134052,0.709758338,0.003035757,0.204827271,0.463991139,0.619878404,0.013703269,-0.198821107,0.5149305,-0.0421375,0.891284307,0.144450381,0.637764034,0.935533821,2.66E-06,-0.006740889,0.983412098,-0.140269537,0.663702425,0.214588129,0.481421482,0.837407784,0.000354221,-0.166679183,0.586270784,-0.036980784,0.904530397,0.095448114,0.756427445,0.055854815,0.856183168,0.026863158,0.930582877,0.315662542,0.293429373,0.040197729,0.896264135,0.136243935,0.657174942,0.103029581,0.737669654,0.60301611,0.029136838,0.030539308,0.921108297,0.497850423,0.083397807,-0.004456673,0.988471378,0.067550298,0.82644452,-0.072765478,0.813249764
Denison,0.299401522,0.298379438,0.813824816,0.000397329,0.687307447,0.006606698,0.413796224,0.14134052,1,NA,0.386150413,0.172648883,0.611888363,0.020041002,0.589222789,0.026602546,0.083627484,0.796105,0.641057822,0.024677483,0.644400263,0.023701533,0.21276158,0.506749375,0.800645775,0.003068551,0.641597071,0.033345249,0.475083508,0.118565598,0.580245013,0.047939092,0.282176032,0.374219046,0.607672552,0.03608528,0.694325106,0.012231941,0.701645283,0.010985872,0.73049755,0.006971937,0.914714252,3.08E-05,0.789656054,0.002250374,0.480969032,0.113434457,0.810432002,0.00138897,0.546373655,0.066062643,0.779965363,0.002769666,0.507197008,0.09235765,0.397406907,0.200810153,0.71151288,0.00945858,0.518543612,0.084120433
Lower Pine Lake,0.540848863,0.037359658,0.408368991,0.130739862,0.257748399,0.353688415,0.709758338,0.003035757,0.386150413,0.172648883,1,NA,0.14625055,0.602995917,0.696507223,0.003915424,-0.041109644,0.893922599,-0.381554111,0.198290104,0.141133815,0.645584036,0.844526312,0.000280936,-0.085803643,0.790901706,-0.212735561,0.506802576,-0.210008713,0.49104775,0.553992432,0.049476311,0.092074514,0.764814598,-0.383962449,0.195235857,-0.058958585,0.848272441,-0.156656023,0.609285846,-0.227002734,0.455775447,0.168158124,0.58290435,0.125192895,0.683628385,-0.176465928,0.564139242,-0.01973738,0.948971208,0.470321797,0.10482235,0.058350145,0.849822193,0.049012906,0.873664272,-0.272371133,0.367966507,0.020993254,0.945728448,-0.36180743,0.224455839
North Twin,0.189473716,0.498829034,0.562626011,0.029005618,0.844124734,7.58E-05,0.204827271,0.463991139,0.611888363,0.020041002,0.14625055,0.602995917,1,NA,0.680461025,0.005239787,-0.054340074,0.8600484,0.869302428,0.000113669,0.500760052,0.081326695,-0.190910873,0.532121628,0.801439739,0.001723087,0.651699573,0.021668087,0.849082443,0.000240749,0.314860769,0.294724305,0.234774477,0.440063583,0.942067117,1.50E-06,0.58509931,0.03567755,0.727932151,0.004788711,0.91642628,1.07E-05,0.625409572,0.022254848,0.414576437,0.158980373,0.839150691,0.000335018,0.822387534,0.000558527,0.226513395,0.456773661,0.474031931,0.101737814,0.587330361,0.034809772,0.874934483,9.02E-05,0.670644261,0.01211079,0.8854521,5.68E-05
Rock Creek,0.615136824,0.014657392,0.548915965,0.034079143,0.690054153,0.004411487,0.619878404,0.013703269,0.589222789,0.026602546,0.696507223,0.003915424,0.680461025,0.005239787,1,NA,0.005193014,0.98656674,0.443007329,0.129495579,0.403969913,0.171005233,0.665180523,0.013100999,0.427076411,0.166146271,0.174935119,0.58658471,0.341163001,0.253959213,0.93925458,1.93E-06,0.002635077,0.993183392,0.313162357,0.29747818,0.51718691,0.070299645,0.464592411,0.109709258,0.439526907,0.132893258,0.680371158,0.01048909,0.36077413,0.225880297,0.32991663,0.270955554,0.487094019,0.091370863,0.575202998,0.039717504,0.239031205,0.431572307,0.682509691,0.010155796,0.205743139,0.500093088,0.349515168,0.241758229,0.279981233,0.35419088
Backbone,-0.008184905,0.978828601,-0.041043839,0.894091541,-0.054958983,0.85846875,-0.198821107,0.5149305,0.083627484,0.796105,-0.041109644,0.893922599,-0.054340074,0.8600484,0.005193014,0.98656674,1,NA,0.037074556,0.90428931,0.651956813,0.015749608,-0.059732198,0.846302705,-0.095779545,0.767151913,-0.155793352,0.628741932,-0.321999402,0.283310078,-0.050707043,0.86933053,0.269189467,0.3738092,-0.061070344,0.842897526,0.42239517,0.150475737,0.291086645,0.334597961,-0.131233296,0.669125759,0.012729086,0.967079137,0.143877959,0.639111291,-0.277134108,0.359311637,-0.095913435,0.755272507,-0.547869023,0.052587072,-0.072486784,0.813953762,0.029654989,0.92338663,-0.06074111,0.843735098,-0.107348681,0.727042294,0.024930157,0.935568276
Big Creek,-0.088757701,0.773083664,0.421227861,0.151726189,0.764033762,0.002361672,-0.0421375,0.891284307,0.641057822,0.024677483,-0.381554111,0.198290104,0.869302428,0.000113669,0.443007329,0.129495579,0.037074556,0.90428931,1,NA,0.518602729,0.069401153,-0.246316277,0.417230995,0.765515766,0.003707695,0.571760073,0.052102614,0.732523782,0.004403455,0.329172319,0.272103342,0.395840403,0.18060546,0.809170908,0.000806729,0.639962726,0.018481926,0.828621599,0.000464753,0.86116402,0.000155896,0.781423209,0.001607358,0.438320671,0.134084446,0.733995962,0.004285143,0.810773286,0.000772707,0.216553054,0.477318229,0.450310266,0.122554912,0.517859566,0.069871761,0.626800321,0.021871519,0.69552755,0.008296885,0.819244281,0.000611161
